date,merchant,category,amount,payment_mode,month,month_num
2024-01-28,Zepto,Groceries,976.4,Credit Card,January,1
2024-01-29,Airtel,Utilities,434.54,UPI,January,1
2024-01-29,Meesho,Shopping,2194.04,Credit Card,January,1
2024-01-29,McDonald's,Food & Dining,225.62,Net Banking,January,1
2024-01-29,Udemy,Education,430.52,Debit Card,January,1
2024-01-29,Cafe Coffee Day,Food & Dining,639.15,Cash,January,1
2024-01-30,Electricity Bill,Utilities,681.92,Debit Card,January,1
2024-01-31,Zomato,Food & Dining,788.98,UPI,January,1
2024-01-31,YouTube Premium,Entertainment,646.65,Credit Card,January,1
2024-01-31,UPI Transfer,Miscellaneous,2134.14,UPI,January,1
2024-01-31,Salon,Personal Care,799.39,Credit Card,January,1
2024-01-31,UPI Transfer,Miscellaneous,400.77,Net Banking,January,1
2024-02-01,NPTEL,Education,779.56,UPI,February,2
2024-02-01,Flipkart,Shopping,1336.5,UPI,February,2
2024-02-01,Airtel,Utilities,243.79,Debit Card,February,2
2024-02-01,KFC,Food & Dining,550.6,UPI,February,2
2024-02-02,RedBus,Transport,678.09,Credit Card,February,2
2024-02-02,PharmEasy,Health,1066.28,UPI,February,2
2024-02-03,IndiGo Airlines,Transport,871.08,Credit Card,February,2
2024-02-03,KFC,Food & Dining,630.19,Net Banking,February,2
2024-02-04,Nykaa,Personal Care,634.44,Credit Card,February,2
2024-02-04,Domino's,Food & Dining,348.02,UPI,February,2
2024-02-05,DMart,Groceries,641.48,UPI,February,2
2024-02-05,KFC,Food & Dining,740.7,Cash,February,2
2024-02-05,Zepto,Groceries,640.54,Debit Card,February,2
2024-02-06,Spotify,Entertainment,419.48,UPI,February,2
2024-02-06,Flipkart,Shopping,2602.29,Net Banking,February,2
2024-02-06,Flipkart,Shopping,1122.52,Debit Card,February,2
2024-02-07,Domino's,Food & Dining,798.84,Cash,February,2
2024-02-07,Meesho,Shopping,1472.96,Net Banking,February,2
2024-02-07,Nykaa,Shopping,2963.22,Debit Card,February,2
2024-02-07,Nykaa,Shopping,2336.53,UPI,February,2
2024-02-07,Nykaa,Shopping,2683.33,UPI,February,2
2024-02-07,Udemy,Education,1429.9,Credit Card,February,2
2024-02-07,Cafe Coffee Day,Food & Dining,490.69,Credit Card,February,2
2024-02-07,Zomato,Food & Dining,60.35,UPI,February,2
2024-02-07,IndiGo Airlines,Transport,492.85,UPI,February,2
2024-02-08,Myntra,Shopping,1825.09,Credit Card,February,2
2024-02-08,Swiggy,Food & Dining,695.11,Debit Card,February,2
2024-02-08,Nykaa,Personal Care,1165.36,UPI,February,2
2024-02-08,Zomato,Food & Dining,198.31,Credit Card,February,2
2024-02-08,Apollo Pharmacy,Health,399.29,Cash,February,2
2024-02-09,McDonald's,Food & Dining,175.92,Net Banking,February,2
2024-02-10,Swiggy,Food & Dining,676.22,Credit Card,February,2
2024-02-10,DMart,Groceries,275.68,Debit Card,February,2
2024-02-10,Unacademy,Education,1917.72,Debit Card,February,2
2024-02-10,Rapido,Transport,572.59,Cash,February,2
2024-02-11,BigBasket,Groceries,1230.57,Credit Card,February,2
2024-02-11,Amazon,Shopping,1680.1,UPI,February,2
2024-02-11,Airtel,Utilities,161.64,Debit Card,February,2
2024-02-12,IndiGo Airlines,Transport,223.66,UPI,February,2
2024-02-12,RedBus,Transport,508.12,UPI,February,2
2024-02-13,PharmEasy,Health,1468.08,Credit Card,February,2
2024-02-13,ATM Withdrawal,Miscellaneous,1718.41,UPI,February,2
2024-02-13,Indian Railways,Transport,782.89,UPI,February,2
2024-02-13,KFC,Food & Dining,156.26,UPI,February,2
2024-02-13,Unacademy,Education,1065.24,UPI,February,2
2024-02-14,Amazon,Shopping,1086.95,UPI,February,2
2024-02-15,Ola,Transport,728.4,Debit Card,February,2
2024-02-15,Electricity Bill,Utilities,591.29,UPI,February,2
2024-02-15,Swiggy,Food & Dining,328.13,Credit Card,February,2
2024-02-15,Subway,Food & Dining,118.55,Credit Card,February,2
2024-02-16,Ajio,Shopping,1799.88,Credit Card,February,2
2024-02-16,Amazon,Shopping,3849.77,Debit Card,February,2
2024-02-16,DMart,Groceries,1520.21,UPI,February,2
2024-02-16,Jio Recharge,Utilities,575.06,Debit Card,February,2
2024-02-16,YouTube Premium,Entertainment,329.69,Credit Card,February,2
2024-02-16,KFC,Food & Dining,278.16,Debit Card,February,2
2024-02-16,Electricity Bill,Utilities,1079.12,Credit Card,February,2
2024-02-16,Subway,Food & Dining,212.89,UPI,February,2
2024-02-17,Domino's,Food & Dining,501.51,Credit Card,February,2
2024-02-17,Internshala,Education,322.44,UPI,February,2
2024-02-17,Cafe Coffee Day,Food & Dining,734.7,Credit Card,February,2
2024-02-17,RedBus,Transport,1075.07,Debit Card,February,2
2024-02-18,Subway,Food & Dining,108.45,Credit Card,February,2
2024-02-18,Subway,Food & Dining,461.33,UPI,February,2
2024-02-19,Rapido,Transport,736.36,Debit Card,February,2
2024-02-19,Domino's,Food & Dining,151.75,Credit Card,February,2
2024-02-19,Cafe Coffee Day,Food & Dining,453.48,UPI,February,2
2024-02-21,Nykaa,Shopping,1637.44,UPI,February,2
2024-02-21,Zomato,Food & Dining,492.18,UPI,February,2
2024-02-21,Ola,Transport,1083.14,UPI,February,2
2024-02-22,NPTEL,Education,2582.26,UPI,February,2
2024-02-22,Airtel,Utilities,502.37,UPI,February,2
2024-02-22,1mg,Health,481.68,Cash,February,2
2024-02-22,NPTEL,Education,1972.99,UPI,February,2
2024-02-24,1mg,Health,305.04,Cash,February,2
2024-02-24,Indian Railways,Transport,173.35,UPI,February,2
2024-02-24,Zomato,Food & Dining,761.62,UPI,February,2
2024-02-25,Swiggy,Food & Dining,452.21,UPI,February,2
2024-02-25,Ajio,Shopping,552.76,UPI,February,2
2024-02-25,Myntra,Shopping,4944.13,Credit Card,February,2
2024-02-26,Subway,Food & Dining,285.27,UPI,February,2
2024-02-26,Water Bill,Utilities,264.06,UPI,February,2
2024-02-27,Subway,Food & Dining,293.39,UPI,February,2
2024-02-28,NPTEL,Education,2301.46,Debit Card,February,2
2024-02-28,Water Bill,Utilities,640.92,Credit Card,February,2
2024-02-28,Flipkart,Shopping,4548.43,UPI,February,2
2024-02-28,Swiggy,Food & Dining,424.28,UPI,February,2
2024-02-28,McDonald's,Food & Dining,535.98,Credit Card,February,2
2024-02-28,Cafe Coffee Day,Food & Dining,417.11,Cash,February,2
2024-02-28,Domino's,Food & Dining,667.46,UPI,February,2
2024-02-28,RedBus,Transport,877.05,UPI,February,2
2024-02-29,DMart,Groceries,439.28,Cash,February,2
2024-02-29,Zomato,Food & Dining,278.27,Credit Card,February,2
2024-03-01,Udemy,Education,1594.45,Debit Card,March,3
2024-03-01,Zomato,Food & Dining,187.28,Credit Card,March,3
2024-03-01,1mg,Health,354.32,Debit Card,March,3
2024-03-01,Ola,Transport,612.35,Credit Card,March,3
2024-03-02,Other,Miscellaneous,2112.69,Credit Card,March,3
2024-03-05,Subway,Food & Dining,760.14,UPI,March,3
2024-03-05,Zomato,Food & Dining,791.21,UPI,March,3
2024-03-05,Myntra,Shopping,4912.04,Debit Card,March,3
2024-03-06,KFC,Food & Dining,755.27,Credit Card,March,3
2024-03-06,ATM Withdrawal,Miscellaneous,2730.09,Credit Card,March,3
2024-03-06,NPTEL,Education,460.67,Credit Card,March,3
2024-03-06,Cafe Coffee Day,Food & Dining,672.02,UPI,March,3
2024-03-07,Internshala,Education,651.43,UPI,March,3
2024-03-07,Zepto,Groceries,1672.29,Net Banking,March,3
2024-03-08,Electricity Bill,Utilities,683.94,Net Banking,March,3
2024-03-08,Zomato,Food & Dining,492.27,UPI,March,3
2024-03-09,Zomato,Food & Dining,606.81,UPI,March,3
2024-03-09,JioMart,Groceries,618.39,Debit Card,March,3
2024-03-09,Udemy,Education,390.55,Credit Card,March,3
2024-03-10,Mamaearth,Personal Care,918.98,Credit Card,March,3
2024-03-10,Indian Railways,Transport,656.07,Credit Card,March,3
2024-03-11,Ajio,Shopping,1709.05,UPI,March,3
2024-03-11,Domino's,Food & Dining,783.43,UPI,March,3
2024-03-11,Nykaa,Shopping,4446.33,Credit Card,March,3
2024-03-11,Bank Charges,Miscellaneous,1286.66,Credit Card,March,3
2024-03-11,BigBasket,Groceries,1520.85,UPI,March,3
2024-03-12,Cult.fit,Health,700.47,UPI,March,3
2024-03-12,Subway,Food & Dining,69.71,Credit Card,March,3
2024-03-12,Jio Recharge,Utilities,650.87,Cash,March,3
2024-03-12,McDonald's,Food & Dining,419.84,UPI,March,3
2024-03-13,McDonald's,Food & Dining,759.04,Net Banking,March,3
2024-03-13,Coursera,Education,321.92,UPI,March,3
2024-03-14,Ola,Transport,749.33,UPI,March,3
2024-03-14,Domino's,Food & Dining,351.04,UPI,March,3
2024-03-14,UPI Transfer,Miscellaneous,1299.32,UPI,March,3
2024-03-15,McDonald's,Food & Dining,738.05,Credit Card,March,3
2024-03-15,Rapido,Transport,1147.72,UPI,March,3
2024-03-15,Udemy,Education,2331.13,Credit Card,March,3
2024-03-16,Airtel,Utilities,134.73,Net Banking,March,3
2024-03-17,YouTube Premium,Entertainment,182.87,Net Banking,March,3
2024-03-17,Cafe Coffee Day,Food & Dining,440.26,UPI,March,3
2024-03-17,Domino's,Food & Dining,444.84,Debit Card,March,3
2024-03-18,Amazon,Shopping,805.98,Cash,March,3
2024-03-19,Subway,Food & Dining,552.09,Credit Card,March,3
2024-03-19,PharmEasy,Health,306.86,Debit Card,March,3
2024-03-19,Swiggy,Food & Dining,334.88,Debit Card,March,3
2024-03-19,Zepto,Groceries,196.63,Net Banking,March,3
2024-03-20,Cafe Coffee Day,Food & Dining,302.45,UPI,March,3
2024-03-20,Domino's,Food & Dining,87.32,UPI,March,3
2024-03-20,Cafe Coffee Day,Food & Dining,641.09,Credit Card,March,3
2024-03-21,Ajio,Shopping,4288.98,Net Banking,March,3
2024-03-21,McDonald's,Food & Dining,634.75,UPI,March,3
2024-03-22,Mamaearth,Personal Care,1285.11,Credit Card,March,3
2024-03-22,Amazon,Shopping,821.15,UPI,March,3
2024-03-23,Meesho,Shopping,4608.77,Credit Card,March,3
2024-03-23,IndiGo Airlines,Transport,609.7,Credit Card,March,3
2024-03-23,Domino's,Food & Dining,160.51,UPI,March,3
2024-03-23,Subway,Food & Dining,732.77,Credit Card,March,3
2024-03-24,Blinkit,Groceries,1728.51,Credit Card,March,3
2024-03-25,Cafe Coffee Day,Food & Dining,758.14,Cash,March,3
2024-03-25,Coursera,Education,1349.4,Credit Card,March,3
2024-03-25,Blinkit,Groceries,1080.39,Credit Card,March,3
2024-03-25,Nykaa,Shopping,3764.05,UPI,March,3
2024-03-25,Domino's,Food & Dining,532.61,UPI,March,3
2024-03-26,Coursera,Education,1776.02,Credit Card,March,3
2024-03-26,Rapido,Transport,934.79,Net Banking,March,3
2024-03-26,Internshala,Education,1380.09,Credit Card,March,3
2024-03-27,Internshala,Education,1642.27,Credit Card,March,3
2024-03-28,NPTEL,Education,1144.33,Net Banking,March,3
2024-03-28,Nykaa,Shopping,3174.73,Debit Card,March,3
2024-03-29,Steam,Entertainment,272.3,UPI,March,3
2024-03-29,Mamaearth,Personal Care,1460.47,Debit Card,March,3
2024-03-29,Cafe Coffee Day,Food & Dining,200.55,UPI,March,3
2024-03-29,1mg,Health,200.15,Credit Card,March,3
2024-03-30,BookMyShow,Entertainment,342.65,Debit Card,March,3
2024-03-30,Cafe Coffee Day,Food & Dining,336.91,Credit Card,March,3
2024-03-30,Cafe Coffee Day,Food & Dining,69.34,UPI,March,3
2024-03-30,Water Bill,Utilities,1178.9,Credit Card,March,3
2024-03-30,Flipkart,Shopping,4682.83,UPI,March,3
2024-03-30,Steam,Entertainment,595.19,Credit Card,March,3
2024-03-30,Subway,Food & Dining,690.95,Credit Card,March,3
2024-03-30,DMart,Groceries,784.41,Credit Card,March,3
2024-03-31,McDonald's,Food & Dining,654.66,Credit Card,March,3
2024-03-31,DMart,Groceries,213.16,UPI,March,3
2024-04-01,Other,Miscellaneous,1633.64,Debit Card,April,4
2024-04-01,Nykaa,Personal Care,865.07,Net Banking,April,4
2024-04-02,Myntra,Shopping,692.47,UPI,April,4
2024-04-02,Cult.fit,Health,592.97,Net Banking,April,4
2024-04-02,Domino's,Food & Dining,214.27,Net Banking,April,4
2024-04-02,Indian Railways,Transport,179.69,UPI,April,4
2024-04-02,Meesho,Shopping,1820.06,UPI,April,4
2024-04-03,Swiggy,Food & Dining,705.86,UPI,April,4
2024-04-03,Subway,Food & Dining,295.51,Credit Card,April,4
2024-04-03,Jio Recharge,Utilities,887.65,Net Banking,April,4
2024-04-04,KFC,Food & Dining,374.1,UPI,April,4
2024-04-04,Indian Railways,Transport,462.2,UPI,April,4
2024-04-05,Ajio,Shopping,1963.27,Debit Card,April,4
2024-04-05,Unacademy,Education,438.94,Credit Card,April,4
2024-04-05,Meesho,Shopping,3528.48,Credit Card,April,4
2024-04-05,Domino's,Food & Dining,587.98,UPI,April,4
2024-04-06,Water Bill,Utilities,696.34,UPI,April,4
2024-04-06,Cafe Coffee Day,Food & Dining,230.23,UPI,April,4
2024-04-06,Cafe Coffee Day,Food & Dining,352.54,UPI,April,4
2024-04-07,KFC,Food & Dining,377.04,Credit Card,April,4
2024-04-07,Subway,Food & Dining,555.25,Credit Card,April,4
2024-04-07,Ajio,Shopping,3875.52,UPI,April,4
2024-04-08,Subway,Food & Dining,257.37,Credit Card,April,4
2024-04-09,RedBus,Transport,1181.79,Credit Card,April,4
2024-04-09,Water Bill,Utilities,550.05,Credit Card,April,4
2024-04-11,Zomato,Food & Dining,233.63,Credit Card,April,4
2024-04-11,KFC,Food & Dining,672.93,UPI,April,4
2024-04-11,YouTube Premium,Entertainment,203.72,Debit Card,April,4
2024-04-11,Amazon,Shopping,2701.47,Cash,April,4
2024-04-11,Ola,Transport,1040.48,UPI,April,4
2024-04-12,YouTube Premium,Entertainment,206.96,Debit Card,April,4
2024-04-12,PharmEasy,Health,1343.41,Debit Card,April,4
2024-04-12,Swiggy,Food & Dining,704.56,UPI,April,4
2024-04-13,Electricity Bill,Utilities,271.6,UPI,April,4
2024-04-14,Internshala,Education,867.32,UPI,April,4
2024-04-14,Swiggy,Food & Dining,745.75,UPI,April,4
2024-04-14,Uber,Transport,395.72,Debit Card,April,4
2024-04-14,UPI Transfer,Miscellaneous,1655.53,UPI,April,4
2024-04-14,PharmEasy,Health,570.09,Credit Card,April,4
2024-04-14,Meesho,Shopping,2515.85,UPI,April,4
2024-04-15,Unacademy,Education,453.64,Credit Card,April,4
2024-04-15,KFC,Food & Dining,656.55,UPI,April,4
2024-04-16,Coursera,Education,1509.57,Credit Card,April,4
2024-04-18,Apollo Pharmacy,Health,469.7,UPI,April,4
2024-04-18,Nykaa,Personal Care,1140.57,Debit Card,April,4
2024-04-18,JioMart,Groceries,1507.8,Debit Card,April,4
2024-04-19,DMart,Groceries,631.72,Net Banking,April,4
2024-04-20,PharmEasy,Health,550.5,UPI,April,4
2024-04-20,Flipkart,Shopping,3640.58,UPI,April,4
2024-04-21,Myntra,Shopping,3881.11,UPI,April,4
2024-04-21,Netflix,Entertainment,353.22,Debit Card,April,4
2024-04-21,Myntra,Shopping,1655.3,Net Banking,April,4
2024-04-22,UPI Transfer,Miscellaneous,1577.63,UPI,April,4
2024-04-22,Myntra,Shopping,2292.01,UPI,April,4
2024-04-22,RedBus,Transport,94.09,UPI,April,4
2024-04-22,Rapido,Transport,293.07,UPI,April,4
2024-04-22,1mg,Health,141.15,UPI,April,4
2024-04-23,Electricity Bill,Utilities,1123.52,UPI,April,4
2024-04-23,IndiGo Airlines,Transport,1049.58,UPI,April,4
2024-04-23,DMart,Groceries,729.03,UPI,April,4
2024-04-23,Unacademy,Education,973.7,UPI,April,4
2024-04-24,Electricity Bill,Utilities,1029.91,UPI,April,4
2024-04-24,Zomato,Food & Dining,679.38,Credit Card,April,4
2024-04-24,Jio Recharge,Utilities,1176.34,Credit Card,April,4
2024-04-24,Electricity Bill,Utilities,716.17,Credit Card,April,4
2024-04-24,Myntra,Shopping,4122.74,UPI,April,4
2024-04-25,Internshala,Education,1072.86,UPI,April,4
2024-04-26,PharmEasy,Health,1290.21,Net Banking,April,4
2024-04-26,KFC,Food & Dining,382.33,Debit Card,April,4
2024-04-27,BookMyShow,Entertainment,230.4,UPI,April,4
2024-04-27,Nykaa,Shopping,4069.76,UPI,April,4
2024-04-27,IndiGo Airlines,Transport,972.97,UPI,April,4
2024-04-27,Myntra,Shopping,3657.23,Credit Card,April,4
2024-04-28,Rapido,Transport,852.5,Credit Card,April,4
2024-04-28,Myntra,Shopping,1467.8,UPI,April,4
2024-04-28,Netflix,Entertainment,314.84,Credit Card,April,4
2024-04-28,Flipkart,Shopping,1126.97,Credit Card,April,4
2024-04-29,Uber,Transport,952.71,Credit Card,April,4
2024-04-29,Myntra,Shopping,4834.86,Debit Card,April,4
2024-04-29,ATM Withdrawal,Miscellaneous,818.79,UPI,April,4
2024-04-30,Meesho,Shopping,1381.83,Credit Card,April,4
2024-04-30,BigBasket,Groceries,1963.76,UPI,April,4
2024-04-30,Subway,Food & Dining,650.95,UPI,April,4
2024-04-30,Coursera,Education,788.6,UPI,April,4
2024-05-01,Subway,Food & Dining,411.02,Net Banking,May,5
2024-05-01,Blinkit,Groceries,1774.69,UPI,May,5
2024-05-01,Netflix,Entertainment,203.55,UPI,May,5
2024-05-01,Lakme,Personal Care,1148.4,Debit Card,May,5
2024-05-01,Nykaa,Shopping,1580.67,Credit Card,May,5
2024-05-01,Domino's,Food & Dining,307.32,UPI,May,5
2024-05-02,Internshala,Education,1741.35,Credit Card,May,5
2024-05-02,Meesho,Shopping,2394.15,UPI,May,5
2024-05-02,Zomato,Food & Dining,743.47,UPI,May,5
2024-05-03,RedBus,Transport,551.94,Cash,May,5
2024-05-04,Flipkart,Shopping,2041.21,Net Banking,May,5
2024-05-04,Udemy,Education,1309.57,UPI,May,5
2024-05-05,Meesho,Shopping,3472.64,UPI,May,5
2024-05-06,Electricity Bill,Utilities,942.4,Credit Card,May,5
2024-05-06,Unacademy,Education,1666.39,Credit Card,May,5
2024-05-06,McDonald's,Food & Dining,218.65,Cash,May,5
2024-05-06,Coursera,Education,949.32,UPI,May,5
2024-05-07,Cafe Coffee Day,Food & Dining,575.96,UPI,May,5
2024-05-07,YouTube Premium,Entertainment,531.71,UPI,May,5
2024-05-07,Internshala,Education,917.64,UPI,May,5
2024-05-08,Udemy,Education,1958.09,Net Banking,May,5
2024-05-08,Domino's,Food & Dining,255.84,Credit Card,May,5
2024-05-08,Salon,Personal Care,923.21,UPI,May,5
2024-05-08,YouTube Premium,Entertainment,591.97,Net Banking,May,5
2024-05-09,KFC,Food & Dining,193.33,UPI,May,5
2024-05-10,Spotify,Entertainment,171.45,Net Banking,May,5
2024-05-10,Subway,Food & Dining,582.27,UPI,May,5
2024-05-10,Indian Railways,Transport,553.57,UPI,May,5
2024-05-11,Zepto,Groceries,575.27,UPI,May,5
2024-05-12,KFC,Food & Dining,439.1,Credit Card,May,5
2024-05-12,PharmEasy,Health,463.35,UPI,May,5
2024-05-12,KFC,Food & Dining,641.49,UPI,May,5
2024-05-13,Udemy,Education,372.95,UPI,May,5
2024-05-13,YouTube Premium,Entertainment,446.49,UPI,May,5
2024-05-14,Cult.fit,Health,1351.84,UPI,May,5
2024-05-14,UPI Transfer,Miscellaneous,1572.28,UPI,May,5
2024-05-14,BookMyShow,Entertainment,164.01,UPI,May,5
2024-05-14,Myntra,Shopping,1285.96,UPI,May,5
2024-05-14,Airtel,Utilities,493.71,UPI,May,5
2024-05-14,YouTube Premium,Entertainment,203.31,Credit Card,May,5
2024-05-14,Ajio,Shopping,203.46,Credit Card,May,5
2024-05-15,Myntra,Shopping,4545.62,Debit Card,May,5
2024-05-15,Domino's,Food & Dining,375.92,Debit Card,May,5
2024-05-15,Ajio,Shopping,1969.21,Debit Card,May,5
2024-05-15,Unacademy,Education,1223.62,UPI,May,5
2024-05-16,McDonald's,Food & Dining,577.02,UPI,May,5
2024-05-16,Water Bill,Utilities,186.82,Credit Card,May,5
2024-05-16,Lakme,Personal Care,907.09,Credit Card,May,5
2024-05-16,Jio Recharge,Utilities,510.36,UPI,May,5
2024-05-17,PharmEasy,Health,1168.57,UPI,May,5
2024-05-17,NPTEL,Education,2006.55,UPI,May,5
2024-05-18,Lakme,Personal Care,274.93,Credit Card,May,5
2024-05-20,Cafe Coffee Day,Food & Dining,564.35,Debit Card,May,5
2024-05-20,Myntra,Shopping,282.28,Debit Card,May,5
2024-05-21,YouTube Premium,Entertainment,667.84,UPI,May,5
2024-05-21,Blinkit,Groceries,1976.3,Credit Card,May,5
2024-05-21,KFC,Food & Dining,624.12,UPI,May,5
2024-05-21,Amazon,Shopping,3975.44,Credit Card,May,5
2024-05-21,KFC,Food & Dining,764.14,Credit Card,May,5
2024-05-21,Steam,Entertainment,572.49,UPI,May,5
2024-05-22,Domino's,Food & Dining,376.91,Debit Card,May,5
2024-05-22,Steam,Entertainment,606.09,Cash,May,5
2024-05-23,McDonald's,Food & Dining,212.95,UPI,May,5
2024-05-23,Water Bill,Utilities,501.52,Net Banking,May,5
2024-05-23,Subway,Food & Dining,447.07,Debit Card,May,5
2024-05-23,Blinkit,Groceries,1793.46,UPI,May,5
2024-05-24,BookMyShow,Entertainment,221.16,Credit Card,May,5
2024-05-24,Cult.fit,Health,1451.09,Debit Card,May,5
2024-05-24,Cult.fit,Health,603.05,Debit Card,May,5
2024-05-24,KFC,Food & Dining,378.81,UPI,May,5
2024-05-24,IndiGo Airlines,Transport,406.77,UPI,May,5
2024-05-25,Mamaearth,Personal Care,717.87,Cash,May,5
2024-05-25,Flipkart,Shopping,830.13,Debit Card,May,5
2024-05-26,Unacademy,Education,759.5,UPI,May,5
2024-05-26,DMart,Groceries,1768.0,UPI,May,5
2024-05-26,Cafe Coffee Day,Food & Dining,499.64,Credit Card,May,5
2024-05-27,Udemy,Education,405.81,Net Banking,May,5
2024-05-28,BigBasket,Groceries,666.95,Credit Card,May,5
2024-05-28,Meesho,Shopping,3062.58,UPI,May,5
2024-05-28,Internshala,Education,473.97,Debit Card,May,5
2024-05-28,Domino's,Food & Dining,432.81,UPI,May,5
2024-05-29,Jio Recharge,Utilities,1000.86,Debit Card,May,5
2024-05-29,Rapido,Transport,1144.3,Credit Card,May,5
2024-05-29,BookMyShow,Entertainment,542.75,UPI,May,5
2024-05-29,Myntra,Shopping,3570.06,UPI,May,5
2024-05-29,Netflix,Entertainment,427.93,UPI,May,5
2024-05-30,Flipkart,Shopping,863.26,Credit Card,May,5
2024-05-31,Apollo Pharmacy,Health,1216.14,Credit Card,May,5
2024-05-31,RedBus,Transport,869.67,UPI,May,5
2024-05-31,Subway,Food & Dining,353.45,Debit Card,May,5
2024-06-01,JioMart,Groceries,680.22,Credit Card,June,6
2024-06-01,Water Bill,Utilities,1051.79,UPI,June,6
2024-06-01,1mg,Health,1050.85,Credit Card,June,6
2024-06-01,Zepto,Groceries,261.03,UPI,June,6
2024-06-02,Amazon,Shopping,1968.12,Credit Card,June,6
2024-06-03,McDonald's,Food & Dining,120.0,UPI,June,6
2024-06-03,Uber,Transport,886.85,UPI,June,6
2024-06-03,Amazon,Shopping,3379.92,UPI,June,6
2024-06-03,Swiggy,Food & Dining,211.12,UPI,June,6
2024-06-04,Indian Railways,Transport,949.34,Credit Card,June,6
2024-06-04,Indian Railways,Transport,1034.13,Credit Card,June,6
2024-06-04,Swiggy,Food & Dining,770.44,UPI,June,6
2024-06-05,Udemy,Education,1400.85,UPI,June,6
2024-06-05,KFC,Food & Dining,727.66,UPI,June,6
2024-06-05,Amazon,Shopping,1043.7,Credit Card,June,6
